"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"V4mis0";"SILVA (only NR);Unclassified;";"0.0";"0";"0";"0";"0";"0";"0";"457183";"335779"
"V4mis0";"SILVA (only NR);Archaea;";"83.5";"27";"20197";"19983";"16677";"3306";"214";"437200";"319102"
"V4mis0";"SILVA (only NR);Archaea;Aenigmarchaeota;";"35.1";"26.5";"319";"313";"110";"203";"6";"456870";"335669"
"V4mis0";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;";"43.9";"26.5";"161";"155";"68";"87";"6";"457028";"335711"
"V4mis0";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;";"43.9";"26.5";"161";"155";"68";"87";"6";"457028";"335711"
"V4mis0";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;";"12.5";"26.6";"16";"16";"2";"14";"0";"457167";"335777"
"V4mis0";"SILVA (only NR);Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);";"27.1";"26.5";"155";"155";"42";"113";"0";"457028";"335737"
"V4mis0";"SILVA (only NR);Archaea;Altiarchaeota;";"0.0";"0";"41";"40";"0";"40";"1";"457143";"335779"
"V4mis0";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;";"0.0";"0";"41";"40";"0";"40";"1";"457143";"335779"
"V4mis0";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;";"0.0";"0";"41";"40";"0";"40";"1";"457143";"335779"
"V4mis0";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;";"0.0";"0";"41";"40";"0";"40";"1";"457143";"335779"
"V4mis0";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;";"0.0";"0";"41";"40";"0";"40";"1";"457143";"335779"
"V4mis0";"SILVA (only NR);Archaea;Asgardarchaeota;";"71.0";"26.6";"670";"661";"469";"192";"9";"456522";"335310"
"V4mis0";"SILVA (only NR);Archaea;Asgardarchaeota;Heimdallarchaeia;";"14.0";"26.5";"45";"43";"6";"37";"2";"457140";"335773"
"V4mis0";"SILVA (only NR);Archaea;Asgardarchaeota;Lokiarchaeia;";"80.7";"26.6";"527";"524";"423";"101";"3";"456659";"335356"
"V4mis0";"SILVA (only NR);Archaea;Asgardarchaeota;Odinarchaeia;";"42.9";"26.5";"95";"91";"39";"52";"4";"457092";"335740"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;";"85.4";"26.8";"7625";"7552";"6449";"1103";"73";"449631";"329330"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Bathyarchaeia;";"81.5";"26.6";"3641";"3604";"2939";"665";"37";"453579";"332840"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;";"94.1";"26.6";"34";"34";"32";"2";"0";"457149";"335747"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;";"94.1";"26.6";"34";"34";"32";"2";"0";"457149";"335747"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;";"94.1";"26.6";"34";"34";"32";"2";"0";"457149";"335747"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;Candidatus Methanomethylicus;";"92.9";"26.6";"28";"28";"26";"2";"0";"457155";"335753"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;";"89.1";"26.7";"3259";"3225";"2874";"351";"34";"453958";"332905"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;";"87.1";"26.6";"170";"170";"148";"22";"0";"457013";"335631"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;";"89.7";"26.6";"58";"58";"52";"6";"0";"457125";"335727"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;Candidatus Caldiarchaeum;";"89.7";"26.6";"58";"58";"52";"6";"0";"457125";"335727"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae;";"83.3";"26.6";"66";"66";"55";"11";"0";"457117";"335724"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG);";"89.1";"26.6";"46";"46";"41";"5";"0";"457137";"335738"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Group 1.1c;";"92.6";"26.6";"233";"231";"214";"17";"2";"456952";"335565"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;";"91.4";"26.6";"131";"128";"117";"11";"3";"457055";"335662"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;";"91.9";"26.6";"37";"37";"34";"3";"0";"457146";"335745"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;";"91.9";"26.6";"37";"37";"34";"3";"0";"457146";"335745"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus;";"88.9";"26.6";"18";"18";"16";"2";"0";"457165";"335763"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;uncultured;";"94.7";"26.6";"19";"19";"18";"1";"0";"457164";"335761"
"V4mis0";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;";"89.2";"26.6";"1831";"1810";"1615";"195";"21";"455373";"334164"
