"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"V4mis1";"SILVA (only NR);Unclassified;";"0.0";"0";"0";"0";"0";"0";"0";"457183";"373894"
"V4mis1";"SILVA (only NR);Archaea;";"94.6";"18.8";"20197";"19983";"18894";"1089";"214";"437200";"355000"
"V4mis1";"SILVA (only NR);Archaea;Aenigmarchaeota;";"81.5";"18.2";"319";"313";"255";"58";"6";"456870";"373639"
"V4mis1";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;";"87.7";"18.2";"161";"155";"136";"19";"6";"457028";"373758"
"V4mis1";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;";"87.7";"18.2";"161";"155";"136";"19";"6";"457028";"373758"
"V4mis1";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;";"81.3";"18.2";"16";"16";"13";"3";"0";"457167";"373881"
"V4mis1";"SILVA (only NR);Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);";"75.5";"18.2";"155";"155";"117";"38";"0";"457028";"373777"
"V4mis1";"SILVA (only NR);Archaea;Altiarchaeota;";"100.0";"18.2";"41";"40";"40";"0";"1";"457143";"373854"
"V4mis1";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;";"100.0";"18.2";"41";"40";"40";"0";"1";"457143";"373854"
"V4mis1";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;";"100.0";"18.2";"41";"40";"40";"0";"1";"457143";"373854"
"V4mis1";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;";"100.0";"18.2";"41";"40";"40";"0";"1";"457143";"373854"
"V4mis1";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;";"100.0";"18.2";"41";"40";"40";"0";"1";"457143";"373854"
"V4mis1";"SILVA (only NR);Archaea;Asgardarchaeota;";"88.8";"18.2";"670";"661";"587";"74";"9";"456522";"373307"
"V4mis1";"SILVA (only NR);Archaea;Asgardarchaeota;Heimdallarchaeia;";"93.0";"18.2";"45";"43";"40";"3";"2";"457140";"373854"
"V4mis1";"SILVA (only NR);Archaea;Asgardarchaeota;Lokiarchaeia;";"88.4";"18.2";"527";"524";"463";"61";"3";"456659";"373431"
"V4mis1";"SILVA (only NR);Archaea;Asgardarchaeota;Odinarchaeia;";"90.1";"18.2";"95";"91";"82";"9";"4";"457092";"373812"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;";"95.8";"18.5";"7625";"7552";"7236";"316";"73";"449631";"366658"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;Bathyarchaeia;";"96.6";"18.3";"3641";"3604";"3480";"124";"37";"453579";"370414"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;";"94.1";"18.2";"34";"34";"32";"2";"0";"457149";"373862"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;";"94.1";"18.2";"34";"34";"32";"2";"0";"457149";"373862"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;";"94.1";"18.2";"34";"34";"32";"2";"0";"457149";"373862"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;Candidatus Methanomethylicus;";"92.9";"18.2";"28";"28";"26";"2";"0";"457155";"373868"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;";"94.9";"18.3";"3259";"3225";"3062";"163";"34";"453958";"370832"
"V4mis1";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;";"97.1";"18.2";"170";"170";"165";"5";"0";"457013";"373729"
