"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus;";"100.0";"14.4";"51";"49";"49";"0";"2";"457134";"391158"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;";"94.0";"14.4";"717";"712";"669";"43";"5";"456471";"390538"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosotenuis;";"90.6";"14.4";"34";"32";"29";"3";"2";"457151";"391178"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum;";"96.3";"14.4";"27";"27";"26";"1";"0";"457156";"391181"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosarchaeum;";"95.2";"14.4";"63";"63";"60";"3";"0";"457120";"391147"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;";"93.1";"14.4";"603";"598";"557";"41";"5";"456585";"390650"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;";"93.1";"14.4";"603";"598";"557";"41";"5";"456585";"390650"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus;";"93.9";"14.4";"49";"49";"46";"3";"0";"457134";"391161"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;";"89.1";"14.4";"233";"230";"205";"25";"3";"456953";"391002"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;";"95.0";"14.4";"141";"139";"132";"7";"2";"457044";"391075"
